Question,Answer
What are office timings?,Office timings are 9:30 AM to 6:30 PM.
How can I apply for leave?,You can apply for leave through the HR portal.
How do I reset my password?,Contact the IT team or use the password reset portal.
Where can I download my salary slip?,Salary slips are available in the employee portal.
Who should I contact for technical issues?,Please contact the IT Helpdesk.
How can I check my attendance?,Attendance can be viewed on the HR portal.
What is the dress code?,Employees should wear formal or business casual attire.
How do I apply for work from home?,Submit your request through your reporting manager.
Where is the company located?,"The company is located in Noida, Uttar Pradesh."
How can I contact HR?,You can email hr@company.com.
